epoch,mean_training_return,val_success_rate,val_avg_steps,val_avg_reward,val_wrong_presses
1,-0.3933333333333329,0.3,6.0,-0.46000000000000013,7
2,-1.0599999999999992,0.1,6.0,-0.8600000000000003,9
3,-0.7266666666666662,0.0,6.0,-1.0600000000000003,10
4,-0.39333333333333337,0.2,6.0,-0.6600000000000001,8
5,-0.7266666666666658,0.2,6.0,-0.6600000000000001,8
6,-0.3933333333333328,0.3,6.0,-0.46000000000000013,7
7,-1.0599999999999992,0.2,6.0,-0.6600000000000004,8
8,-1.0599999999999992,0.1,6.0,-0.8600000000000003,9
9,-1.0599999999999992,0.0,6.0,-1.0600000000000003,10
10,-0.06000000000000005,0.1,6.0,-0.8600000000000001,9
11,-0.7266666666666658,0.5,6.0,-0.06000000000000005,5
12,-1.0599999999999992,0.1,6.0,-0.8600000000000001,9
13,-0.7266666666666662,0.1,6.0,-0.8600000000000003,9
14,-1.0599999999999992,0.1,6.0,-0.8600000000000001,9
15,-0.3933333333333328,0.2,6.0,-0.6600000000000001,8
16,-0.7266666666666658,0.1,6.0,-0.8600000000000003,9
17,-0.7266666666666658,0.3,6.0,-0.4600000000000001,7
18,-1.0599999999999992,0.2,6.0,-0.6600000000000001,8
19,-0.39333333333333326,0.1,6.0,-0.8600000000000001,9
20,-1.0599999999999992,0.4,6.0,-0.26000000000000006,6
21,-1.0599999999999992,0.0,6.0,-1.0600000000000003,10
22,-0.39333333333333326,0.1,6.0,-0.8600000000000003,9
23,-0.7199999999999994,0.2,5.8,-0.6580000000000001,8
24,-1.0599999999999992,0.3,6.0,-0.4600000000000001,7
25,-1.0599999999999992,0.2,6.0,-0.6600000000000001,8
26,-1.0666666666666658,0.2,6.5,-0.6650000000000003,8
27,-0.7333333333333325,0.0,6.4,-1.0640000000000003,10
28,-0.39666666666666606,0.3,6.2,-0.4620000000000002,7
29,-1.0616666666666659,0.2,7.8,-0.6780000000000002,8
30,-1.0683333333333322,0.3,6.5,-0.465,7
31,-0.7333333333333325,0.6,10.4,0.09599999999999997,4
32,-0.8299999999999991,0.2,18.2,-0.8320000000000001,8
33,-1.2249999999999985,0.1,10.0,-0.9349999999999999,9
34,-1.4933333333333305,0.0,30.3,-1.8330000000000006,6
35,-0.7266666666666658,0.3,6.4,-0.4640000000000001,7
36,-0.7416666666666659,0.4,7.9,-0.279,6
37,-0.4300000000000001,0.1,9.2,-0.892,9
38,-1.569999999999997,0.3,36.7,-1.4820000000000007,7
39,-1.088333333333332,0.0,17.0,-1.4900000000000004,9
40,-0.06999999999999944,0.4,6.6,-0.2660000000000001,6
41,-0.39499999999999985,0.1,6.7,-0.8670000000000002,9
42,-1.1049999999999984,0.3,8.9,-0.48900000000000005,7
43,-0.4233333333333329,0.3,7.4,-0.47400000000000003,7
44,-0.09500000000000008,0.6,8.9,0.11099999999999995,4
45,0.2299999999999999,0.3,7.2,-0.472,7
46,0.2616666666666666,0.4,11.7,-0.31700000000000006,6
47,-0.763333333333332,0.2,9.2,-0.692,8
48,0.5333333333333333,0.8,13.7,0.46299999999999997,2
49,0.5816666666666678,0.2,8.6,-0.6860000000000002,8
50,0.20500000000000015,0.4,10.5,-0.30500000000000005,6
51,-0.08333333333333252,0.5,11.3,-0.11300000000000003,5
52,-0.7433333333333328,0.5,9.2,-0.09200000000000004,5
53,0.23333333333333325,0.7,11.2,0.288,3
54,-0.7833333333333327,0.4,10.1,-0.30100000000000005,6
55,0.8000000000000019,1.0,14.2,0.8579999999999999,0
56,0.5300000000000008,0.6,14.1,0.05899999999999994,4
57,0.8583333333333352,0.8,18.8,0.41200000000000003,2
58,-0.13833333333333342,0.5,12.6,-0.12600000000000003,5
59,0.2483333333333335,0.3,11.2,-0.512,7
60,0.20333333333333403,0.8,10.9,0.491,2
61,0.5516666666666673,0.9,11.4,0.686,1
62,0.5416666666666675,0.6,10.0,0.09999999999999995,4
63,-0.08333333333333341,0.4,10.4,-0.304,6
64,-0.14833333333333343,0.6,9.2,0.10799999999999994,4
65,0.17833333333333393,0.7,14.5,0.255,3
66,0.23833333333333326,0.7,9.6,0.304,3
67,0.22000000000000008,0.5,10.4,-0.10400000000000009,5
68,0.21666666666666676,1.0,13.4,0.866,0
69,0.5450000000000004,0.7,8.6,0.314,3
70,0.23666666666666722,0.9,13.9,0.6609999999999998,1
